Gene ID,TOOL,PRODUCT
protein_cluster_1985,PFAM,Lytic transglycosylase catalytic
protein_cluster_1986,PFAM,putative protein family YqgB
protein_cluster_1987,TIGR,"phosphoglucomutase, alpha-D-glucose phosphate-specific"
protein_cluster_1988,TIGR,phosphoserine phosphatase SerB
protein_cluster_1989,,hypothetical protein
protein_cluster_199,PFAM,Electron transfer flavoprotein alpha/beta-subunit
protein_cluster_1990,PFAM,EAL domain-containing protein
protein_cluster_1991,PFAM,transposase IS3/IS911 family protein
protein_cluster_1992,PFAM,ChaB family protein
protein_cluster_1993,TIGR,"citrate lyase, alpha subunit"
protein_cluster_1994,,hypothetical protein
protein_cluster_1995,HAMAP,L-seryl-tRNA(Sec) selenium transferase
protein_cluster_1996,,hypothetical protein
protein_cluster_1997,TIGR,ribokinase
protein_cluster_1998,TIGR,"4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase,HpaG2 subunit"
protein_cluster_1999,,hypothetical protein
protein_cluster_2,,hypothetical protein
protein_cluster_20,PFAM,Modulator of Rho-dependent transcription termination
protein_cluster_200,,hypothetical protein
protein_cluster_2000,TIGR,cold shock domain protein CspD
protein_cluster_2001,HAMAP,Deoxycytidine triphosphate deaminase
protein_cluster_2002,,hypothetical protein
protein_cluster_2003,PFAM,Hemolysin expression modulating family protein
protein_cluster_2004,PFAM,major facilitator superfamily MFS_1
protein_cluster_2005,,hypothetical protein
protein_cluster_2006,PFAM,Cold-shock protein DNA-binding protein
protein_cluster_2007,,hypothetical protein
protein_cluster_2008,PFAM,ParB family protein
protein_cluster_2009,PFAM,"Nucleoside-specific channel-forming protein, Tsx-like protein"
protein_cluster_201,,hypothetical protein
protein_cluster_2010,PFAM,ROK  family protein
protein_cluster_2011,PFAM,antitermination Q family protein
protein_cluster_2012,TIGR,flagellar motor switch protein FliM
protein_cluster_2013,PFAM,SNARE associated protein
protein_cluster_2014,,hypothetical protein
protein_cluster_2015,PFAM,pentapeptide repeat protein
protein_cluster_2016,,hypothetical protein
protein_cluster_2017,TIGR,lipopolysaccharide heptosyltransferase III
protein_cluster_2018,PFAM,protein of unknown function DUF81
protein_cluster_2019,PFAM,integrase family protein
protein_cluster_202,PFAM,putative protein family YgbA
protein_cluster_2020,,hypothetical protein
protein_cluster_2021,PFAM,helix-turn-helix domain protein
protein_cluster_2022,PFAM,Fimbrial protein
protein_cluster_2023,,hypothetical protein
protein_cluster_2024,,hypothetical protein
protein_cluster_2025,,hypothetical protein
protein_cluster_2026,PFAM,protein of unknown function DUF1133
protein_cluster_2027,PFAM,PTS system Galactitol-specific IIC component
protein_cluster_2028,PFAM,head morphogenesis protein SPP1 gp7
protein_cluster_2029,PFAM,Pili assembly chaperone
protein_cluster_203,,hypothetical protein
protein_cluster_2030,PFAM,shufflon domain protein
protein_cluster_2031,PFAM,LysR substrate-binding protein
protein_cluster_2032,PFAM,leucine operon leader peptide
protein_cluster_2033,PFAM,transposase IS3/IS911 family protein
protein_cluster_2034,,hypothetical protein
protein_cluster_2035,PFAM,Protein of unknown function DUF2913
protein_cluster_2036,PFAM,"Phage P4, Ash protein"
protein_cluster_2037,HAMAP,HTH-type transcriptional regulator ulaR
protein_cluster_2038,PFAM,major facilitator superfamily MFS_1
protein_cluster_2039,TIGR,"type VI secretion-associated protein, VC_A0118 family"
protein_cluster_204,PFAM,permease YjgP/YjgQ family protein
protein_cluster_2040,,hypothetical protein
protein_cluster_2041,TIGR,"molybdenum ABC transporter, periplasmic molybdate-binding protein"
protein_cluster_2042,HAMAP,Na(+)/H(+) antiporter nhaB
protein_cluster_2043,,hypothetical protein
protein_cluster_2044,PFAM,Post-segregation antitoxin CcdA
protein_cluster_2045,PFAM,major facilitator superfamily MFS_1
protein_cluster_2046,HAMAP,ATP synthase subunit delta
protein_cluster_2047,PFAM,Protein of unknown function DUF2756
protein_cluster_2048,PFAM,protein of unknown function DUF1202
protein_cluster_2049,PFAM,restriction endonuclease
protein_cluster_205,,hypothetical protein
protein_cluster_2050,TIGR,FeS assembly ATPase SufC
protein_cluster_2051,TIGR,branched-chain amino acid transport system II carrier protein
protein_cluster_2052,TIGR,phage major tail tube protein
protein_cluster_2053,PFAM,protein of unknown function DUF1813 HSP20-like protein
protein_cluster_2054,,hypothetical protein
protein_cluster_2055,PFAM,FKBP-type peptidyl-prolyl isomerase domain protein
protein_cluster_2056,HAMAP,Tyrosine recombinase xerD
protein_cluster_2057,HAMAP,Ribosomal RNA large subunit methyltransferase I
protein_cluster_2058,PFAM,regulatory protein LacI
protein_cluster_2059,,hypothetical protein
protein_cluster_206,PFAM,Fimbrial protein
protein_cluster_2060,PFAM,phosphate acetyl/butaryl transferase
protein_cluster_2061,PFAM,integrase family protein
protein_cluster_2062,PFAM,replication initiation protein
protein_cluster_2063,,hypothetical protein
protein_cluster_2064,HAMAP,Ribosomal RNA large subunit methyltransferase H
protein_cluster_2065,PFAM,LysR substrate-binding protein
protein_cluster_2066,PFAM,Tail Collar domain protein
protein_cluster_2067,,hypothetical protein
protein_cluster_2068,HAMAP,Chaperone protein torD
protein_cluster_2069,,hypothetical protein
protein_cluster_207,PFAM,DNA methylase N-4/N-6 domain protein
protein_cluster_2070,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_2071,TIGR,P-type DNA transfer ATPase VirB11
protein_cluster_2072,,hypothetical protein
protein_cluster_2073,PFAM,"KilA, /APSES-type HTH DNA-binding domain-containing protein"
protein_cluster_2074,,hypothetical protein
protein_cluster_2075,,hypothetical protein
protein_cluster_2076,HAMAP,D-serine dehydratase
protein_cluster_2077,,hypothetical protein
protein_cluster_2078,,hypothetical protein
protein_cluster_2079,TIGR,molybdopterin-guanine dinucleotide biosynthesis protein B
protein_cluster_208,,hypothetical protein
protein_cluster_2080,HAMAP,Purine nucleoside phosphorylase deoD-type
protein_cluster_2081,PFAM,LysR substrate-binding protein
protein_cluster_2082,HAMAP,N-acetylmannosamine-6-phosphate 2-epimerase
protein_cluster_2083,PFAM,sugar isomerase (SIS)
protein_cluster_2084,PFAM,major facilitator superfamily MFS_1
protein_cluster_2085,PFAM,protein of unknown function DUF1097
protein_cluster_2086,,hypothetical protein
protein_cluster_2087,PFAM,multiple antibiotic resistance (MarC)-related protein
protein_cluster_2088,TIGR,"integrating conjugative element protein, PFL_4693 family"
protein_cluster_2089,PFAM,glycoside hydrolase family 8
protein_cluster_209,,hypothetical protein
protein_cluster_2090,HAMAP,UPF0102 protein yraN
protein_cluster_2091,,hypothetical protein
protein_cluster_2092,,hypothetical protein
protein_cluster_2093,PFAM,Tripartite ATP-independent periplasmic transporter DctQ component
protein_cluster_2094,PFAM,major facilitator superfamily MFS_1
protein_cluster_2095,TIGR,phage major tail tube protein
protein_cluster_2096,PFAM,protein of unknown function DUF1266
protein_cluster_2097,TIGR,pyruvate kinase
protein_cluster_2098,,hypothetical protein
protein_cluster_2099,,hypothetical protein
protein_cluster_21,,hypothetical protein
protein_cluster_210,,hypothetical protein
protein_cluster_2100,,hypothetical protein
protein_cluster_2101,PFAM,lambda integrase
protein_cluster_2102,TIGR,"K+-transporting ATPase, F subunit"
protein_cluster_2103,PFAM,protein of unknown function DUF882
protein_cluster_2104,HAMAP,Serine hydroxymethyltransferase
protein_cluster_2105,,hypothetical protein
protein_cluster_2106,,hypothetical protein
protein_cluster_2107,PFAM,glycosyl transferase family 2
protein_cluster_2108,TIGR,adenylosuccinate lyase
protein_cluster_2109,PFAM,glycerate kinase
protein_cluster_211,,hypothetical protein
protein_cluster_2110,PFAM,histone family protein DNA-binding protein
protein_cluster_2111,PFAM,Sporulation domain-containing protein
protein_cluster_2112,PFAM,protein of unknown function DUF523
protein_cluster_2113,PFAM,head completion protein
protein_cluster_2114,PFAM,glycosyl transferase family 51
protein_cluster_2115,HAMAP,Flavoprotein wrbA
protein_cluster_2116,TIGR,"CRISPR-associated protein, Cse2 family"
protein_cluster_2117,,hypothetical protein
protein_cluster_2118,,hypothetical protein
protein_cluster_2119,PFAM,AMP-dependent synthetase and ligase
protein_cluster_212,PFAM,regulatory protein Rha family
protein_cluster_2120,,hypothetical protein
protein_cluster_2121,,hypothetical protein
protein_cluster_2122,,hypothetical protein
protein_cluster_2123,,hypothetical protein
protein_cluster_2124,HAMAP,Ribosomal RNA large subunit methyltransferase M
protein_cluster_2125,,hypothetical protein
protein_cluster_2126,PFAM,LysR substrate-binding protein
protein_cluster_2127,,hypothetical protein
protein_cluster_2128,PFAM,Protein of unknown function DUF3577
protein_cluster_2129,PFAM,DNA/RNA non-specific endonuclease
protein_cluster_213,HAMAP,UPF0370 protein ypfN
protein_cluster_2130,HAMAP,Ribonuclease P protein component
protein_cluster_2131,PFAM,TrbL/VirB6 plasmid conjugal transfer protein
protein_cluster_2132,PFAM,major facilitator superfamily MFS_1
protein_cluster_2133,TIGR,pyridoxal phosphate-dependent enzyme
protein_cluster_2134,PFAM,CII family protein
protein_cluster_2135,,hypothetical protein
protein_cluster_2136,,hypothetical protein
protein_cluster_2137,,hypothetical protein
protein_cluster_2138,,hypothetical protein
protein_cluster_2139,HAMAP,Malate dehydrogenase
protein_cluster_214,PFAM,Pilin accessory family protein
protein_cluster_2140,,hypothetical protein
protein_cluster_2141,TIGR,carbamate kinase
protein_cluster_2142,PFAM,protein of unknown function DUF987
protein_cluster_2143,HAMAP,Adenylyl-sulfate kinase
protein_cluster_2144,,hypothetical protein
protein_cluster_2145,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_2146,PFAM,esterase
protein_cluster_2147,,hypothetical protein
protein_cluster_2148,,hypothetical protein
protein_cluster_2149,TIGR,"sulfate ABC transporter, inner membrane subunit CysW"
protein_cluster_215,PFAM,transcriptional regulator domain-containing protein
protein_cluster_2150,PFAM,tail X family protein
protein_cluster_2151,PFAM,protein of unknown function DUF550
protein_cluster_2152,PFAM,DNA polymerase III alpha subunit
protein_cluster_2153,TIGR,6-phospho 3-hexuloisomerase
protein_cluster_2154,,hypothetical protein
protein_cluster_2155,PFAM,Tripartite ATP-independent periplasmic transporter DctQ component
protein_cluster_2156,,hypothetical protein
protein_cluster_2157,PFAM,DNA topoisomerase type IA central domain protein
protein_cluster_2158,,hypothetical protein
protein_cluster_2159,PFAM,phosphate transporter
protein_cluster_216,PFAM,protein of unknown function DUF977
protein_cluster_2160,,hypothetical protein
protein_cluster_2161,HAMAP,DNA ligase B
protein_cluster_2162,,hypothetical protein
protein_cluster_2163,,hypothetical protein
protein_cluster_2164,PFAM,Putative mono-oxygenase ydhR
protein_cluster_2165,,hypothetical protein
protein_cluster_2166,HAMAP,Zinc transport protein zntB
protein_cluster_2167,TIGR,"sulfite reductase, subunit A"
protein_cluster_2168,,hypothetical protein
protein_cluster_2169,,hypothetical protein
protein_cluster_217,PFAM,transposase IS3/IS911 family protein
protein_cluster_2170,PFAM,Protein of unknown function DUF3440
protein_cluster_2171,PFAM,microcompartments protein
protein_cluster_2172,PFAM,oxidoreductase domain protein
protein_cluster_2173,PFAM,GCN5-related N-acetyltransferase
protein_cluster_2174,PFAM,Sulfate transporter/antisigma-factor antagonist STAS
protein_cluster_2175,,hypothetical protein
protein_cluster_2176,TIGR,"2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT"
protein_cluster_2177,,hypothetical protein
protein_cluster_2178,TIGR,heme exporter protein CcmD
protein_cluster_2179,PFAM,carbonic anhydrase
protein_cluster_218,,hypothetical protein
protein_cluster_2180,PFAM,Fimbrial assembly family protein
protein_cluster_2181,,hypothetical protein
protein_cluster_2182,,hypothetical protein
protein_cluster_2183,PFAM,peptidase U61 LD-carboxypeptidase A
protein_cluster_2184,,hypothetical protein
protein_cluster_2185,,hypothetical protein
protein_cluster_2186,,hypothetical protein
protein_cluster_2187,PFAM,ABC transporter related protein
protein_cluster_2188,,hypothetical protein
protein_cluster_2189,,hypothetical protein
protein_cluster_219,PFAM,pseudouridine synthase
protein_cluster_2190,PFAM,EAL domain-containing protein
protein_cluster_2191,,hypothetical protein
protein_cluster_2192,PFAM,phosphotransferase system lactose/cellobiose-specific IIB subunit
protein_cluster_2193,HAMAP,Pyridoxamine kinase
protein_cluster_2194,PFAM,TatD-related deoxyribonuclease
protein_cluster_2195,TIGR,"CRISPR-associated protein, Cse1 family"
protein_cluster_2196,PFAM,phosphotransferase system lactose/cellobiose-specific IIB subunit
protein_cluster_2197,,hypothetical protein
protein_cluster_2198,TIGR,DNA topoisomerase I
protein_cluster_2199,HAMAP,Cobalamin biosynthesis protein cbiB
protein_cluster_22,,hypothetical protein
protein_cluster_220,PFAM,acyl-CoA dehydrogenase domain-containing protein
protein_cluster_2200,HAMAP,tRNA-specific 2-thiouridylase mnmA
protein_cluster_2201,,hypothetical protein
protein_cluster_2202,PFAM,glutaredoxin
protein_cluster_2203,HAMAP,HTH-type transcriptional regulator iscR
protein_cluster_2204,PFAM,Saf-pilin pilus formation protein
protein_cluster_2205,,hypothetical protein
protein_cluster_2206,TIGR,replicative DNA helicase
protein_cluster_2207,,hypothetical protein
protein_cluster_2208,HAMAP,ATP synthase gamma chain
protein_cluster_2209,,hypothetical protein
protein_cluster_221,,hypothetical protein
protein_cluster_2210,PFAM,Protein of unknown function DUF2474
protein_cluster_2211,PFAM,"Type IV / VI secretion system, DotU"
protein_cluster_2212,PFAM,outer membrane efflux protein
protein_cluster_2213,HAMAP,Cation/acetate symporter ActP
protein_cluster_2214,,hypothetical protein
protein_cluster_2215,PFAM,TGF-beta receptor type I/II extracellular region
protein_cluster_2216,,hypothetical protein
protein_cluster_2217,PFAM,iron dependent repressor
protein_cluster_2218,,hypothetical protein
protein_cluster_2219,PFAM,Sel1 domain protein repeat-containing protein
protein_cluster_222,,hypothetical protein
protein_cluster_2220,HAMAP,Thiamine kinase
protein_cluster_2221,TIGR,magnesium-translocating P-type ATPase
protein_cluster_2222,,hypothetical protein
protein_cluster_2223,,hypothetical protein
protein_cluster_2224,,hypothetical protein
protein_cluster_2225,,hypothetical protein
protein_cluster_2226,HAMAP,UvrABC system protein B
protein_cluster_2227,,hypothetical protein
protein_cluster_2228,HAMAP,Acetate kinase
protein_cluster_2229,PFAM,permease for cytosine/purines uracil thiamine allantoin
protein_cluster_223,,hypothetical protein
protein_cluster_2230,PFAM,regulatory protein DeoR
protein_cluster_2231,PFAM,Bile acid:sodium symporter
protein_cluster_2232,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_2233,,hypothetical protein
protein_cluster_2234,PFAM,tail assembly chaperone gp38
protein_cluster_2235,HAMAP,Glycerol-3-phosphate acyltransferase
protein_cluster_2236,TIGR,DNA primase
protein_cluster_2237,PFAM,Thioredoxin-like fold-containing protein
protein_cluster_2238,PFAM,phosphotransferase system EIIC
protein_cluster_2239,PFAM,flagellin domain protein
protein_cluster_224,TIGR,"phage portal protein, HK97 family"
protein_cluster_2240,PFAM,IstB domain protein ATP-binding protein
protein_cluster_2241,TIGR,"molybdopterin converting factor, subunit 1"
protein_cluster_2242,,hypothetical protein
protein_cluster_2243,PFAM,ABC transporter related protein
protein_cluster_2244,,hypothetical protein
protein_cluster_2245,,hypothetical protein
protein_cluster_2246,PFAM,Antirestriction ArdA family protein
protein_cluster_2247,PFAM,restriction endonuclease
protein_cluster_2248,,hypothetical protein
protein_cluster_2249,PFAM,PTS system sorbose subfamily IIB component
protein_cluster_225,,hypothetical protein
protein_cluster_2250,,hypothetical protein
protein_cluster_2251,PFAM,ABC transporter related protein
protein_cluster_2252,,hypothetical protein
protein_cluster_2253,,hypothetical protein
protein_cluster_2254,,hypothetical protein
protein_cluster_2255,HAMAP,Alanine racemase
protein_cluster_2256,PFAM,TraM family protein
protein_cluster_2257,HAMAP,Glycine cleavage system H protein
protein_cluster_2258,,hypothetical protein
protein_cluster_2259,HAMAP,sialic acid transporter
protein_cluster_226,PFAM,beta-lactamase domain protein
protein_cluster_2260,TIGR,"phage tail tape measure protein, TP901 family"
protein_cluster_2261,PFAM,sodium/sulfate symporter
protein_cluster_2262,HAMAP,2-keto-3-deoxygluconate permease
protein_cluster_2263,PFAM,LysR substrate-binding protein
protein_cluster_2264,,hypothetical protein
protein_cluster_2265,PFAM,"Extracellular solute-binding protein, family 7"
protein_cluster_2266,PFAM,transcription factor jumonji jmjC domain-containing protein
protein_cluster_2267,,hypothetical protein
protein_cluster_2268,,hypothetical protein
protein_cluster_2269,HAMAP,Xylose isomerase
protein_cluster_227,PFAM,protein of unknown function DUF1294
protein_cluster_2270,PFAM,regulatory protein LuxR
protein_cluster_2271,PFAM,Resolvase helix-turn-helix domain protein
protein_cluster_2272,,hypothetical protein
protein_cluster_2273,,hypothetical protein
protein_cluster_2274,PFAM,ROK  family protein
protein_cluster_2275,PFAM,outer membrane lipoprotein Slp
protein_cluster_2276,PFAM,antitermination protein
protein_cluster_2277,PFAM,regulatory protein GntR HTH
protein_cluster_2278,,hypothetical protein
protein_cluster_2279,PFAM,type II and III secretion system protein
protein_cluster_228,,hypothetical protein
protein_cluster_2280,TIGR,"RNA methyltransferase, TrmH family, group 2"
protein_cluster_2281,PFAM,Alcohol dehydrogenase GroES domain protein
protein_cluster_2282,PFAM,PEBP family protein
protein_cluster_2283,TIGR,"acetolactate synthase, large subunit, biosynthetic type"
protein_cluster_2284,PFAM,integrase family protein
protein_cluster_2285,,hypothetical protein
protein_cluster_2286,,hypothetical protein
protein_cluster_2287,HAMAP,UPF0226 membrane protein
protein_cluster_2288,,hypothetical protein
protein_cluster_2289,PFAM,regulatory protein DeoR
protein_cluster_229,,hypothetical protein
protein_cluster_2290,PFAM,baseplate assembly protein V
protein_cluster_2291,,hypothetical protein
protein_cluster_2292,,hypothetical protein
protein_cluster_2293,PFAM,LysR substrate-binding protein
protein_cluster_2294,PFAM,"ABC-type transporter, periplasmic subunit  family 3"
protein_cluster_2295,,hypothetical protein
protein_cluster_2296,HAMAP,3-dehydroquinate dehydratase
protein_cluster_2297,,hypothetical protein
protein_cluster_2298,PFAM,General substrate transporter
protein_cluster_2299,,hypothetical protein
protein_cluster_23,,hypothetical protein
protein_cluster_230,PFAM,Methyltransferase type 11
protein_cluster_2300,TIGR,"cytochrome o ubiquinol oxidase, subunit I"
protein_cluster_2301,,hypothetical protein
protein_cluster_2302,PFAM,ATP-binding region ATPase domain protein
protein_cluster_2303,,hypothetical protein
protein_cluster_2304,,hypothetical protein
protein_cluster_2305,PFAM,General substrate transporter
protein_cluster_2306,PFAM,transposase Tn3 family protein
protein_cluster_2307,,hypothetical protein
protein_cluster_2308,,hypothetical protein
protein_cluster_2309,PFAM,Fructosamine/Ketosamine-3-kinase
protein_cluster_231,HAMAP,DNA mismatch repair protein mutL
protein_cluster_2310,PFAM,DNA polymerase B region
protein_cluster_2311,PFAM,NAD-dependent epimerase/dehydratase
protein_cluster_2312,,hypothetical protein
protein_cluster_2313,PFAM,transposase IS4 family protein
protein_cluster_2314,TIGR,RNA polymerase sigma factor RpoH
protein_cluster_2315,,hypothetical protein
protein_cluster_2316,,hypothetical protein
protein_cluster_2317,PFAM,PsiA family protein
protein_cluster_2318,PFAM,N-6 DNA methylase
protein_cluster_2319,,hypothetical protein
protein_cluster_232,PFAM,Na+transporting methylmalonyl-CoA/oxaloacetate decarboxylase beta subunit
protein_cluster_2320,,hypothetical protein
protein_cluster_2321,HAMAP,Ketol-acid reductoisomerase
protein_cluster_2322,PFAM,dienelactone hydrolase
protein_cluster_2323,,hypothetical protein
protein_cluster_2324,PFAM,capsid scaffolding
protein_cluster_2325,PFAM,Fimbrial protein
protein_cluster_2326,,hypothetical protein
protein_cluster_2327,,hypothetical protein
protein_cluster_2328,PFAM,transferase hexapeptide repeat containing protein
protein_cluster_2329,HAMAP,50S ribosomal protein L36
protein_cluster_233,,hypothetical protein
protein_cluster_2330,,hypothetical protein
protein_cluster_2331,,hypothetical protein
protein_cluster_2332,PFAM,Pili assembly chaperone
protein_cluster_2333,PFAM,Di-heme cytochrome c peroxidase
protein_cluster_2334,PFAM,plasmid SOS inhibition protein
protein_cluster_2335,PFAM,AzlC family protein
protein_cluster_2336,PFAM,tail assembly chaperone gp38
protein_cluster_2337,,hypothetical protein
protein_cluster_2338,HAMAP,Sulfurtransferase tusD
protein_cluster_2339,PFAM,17 kDa surface antigen
protein_cluster_234,HAMAP,transport protein ybjL
protein_cluster_2340,PFAM,protein of unknown function DUF454
protein_cluster_2341,PFAM,IstB domain protein ATP-binding protein
protein_cluster_2342,,hypothetical protein
protein_cluster_2343,,hypothetical protein
protein_cluster_2344,PFAM,Transketolase central region
protein_cluster_2345,PFAM,NinB family protein
protein_cluster_2346,,hypothetical protein
protein_cluster_2347,,hypothetical protein
protein_cluster_2348,,hypothetical protein
protein_cluster_2349,PFAM,EAL domain-containing protein
protein_cluster_235,PFAM,acriflavin resistance protein
protein_cluster_2350,,hypothetical protein
protein_cluster_2351,PFAM,protein of unknown function DUF903
protein_cluster_2352,PFAM,regulatory protein MerR
protein_cluster_2353,,hypothetical protein
protein_cluster_2354,HAMAP,Dihydroxy-acid dehydratase
protein_cluster_2355,,hypothetical protein
protein_cluster_2356,,hypothetical protein
protein_cluster_2357,,hypothetical protein
protein_cluster_2358,,hypothetical protein
protein_cluster_2359,HAMAP,L-threonine 3-dehydrogenase
protein_cluster_236,,hypothetical protein
protein_cluster_2360,PFAM,metallophosphoesterase
protein_cluster_2361,TIGR,"phage portal protein, HK97 family"
protein_cluster_2362,PFAM,Endonuclease/exonuclease/phosphatase
protein_cluster_2363,,hypothetical protein
protein_cluster_2364,TIGR,citrate lyase ligase
protein_cluster_2365,PFAM,EAL domain-containing protein
protein_cluster_2366,TIGR,"Mg chelatase, subunit ChlI"
protein_cluster_2367,PFAM,ABC transporter related protein
protein_cluster_2368,,hypothetical protein
protein_cluster_2369,HAMAP,UPF0246 protein yaaA
protein_cluster_237,HAMAP,Glycyl-tRNA synthetase alpha subunit
protein_cluster_2370,,hypothetical protein
protein_cluster_2371,PFAM,peptidylprolyl isomerase FKBP-type
protein_cluster_2372,TIGR,"D-methionine ABC transporter, ATPase subunit"
protein_cluster_2373,,hypothetical protein
protein_cluster_2374,,hypothetical protein
protein_cluster_2375,PFAM,restriction modification system DNA specificity domain-containing protein
protein_cluster_2376,PFAM,Pirin domain protein
protein_cluster_2377,,hypothetical protein
protein_cluster_2378,PFAM,"Phage P4, Ash protein"
protein_cluster_2379,,hypothetical protein
protein_cluster_238,,hypothetical protein
protein_cluster_2380,HAMAP,5-keto-4-deoxy-D-glucarate aldolase
protein_cluster_2381,TIGR,celllulose biosynthesis operon protein BcsF/YhjT
protein_cluster_2382,,hypothetical protein
protein_cluster_2383,,hypothetical protein
protein_cluster_2384,,hypothetical protein
protein_cluster_2385,PFAM,ABC-2 type transporter
protein_cluster_2386,,hypothetical protein
protein_cluster_2387,PFAM,protein of unknown function DUF1493
protein_cluster_2388,,hypothetical protein
protein_cluster_2389,TIGR,primosomal protein N
protein_cluster_239,,hypothetical protein
protein_cluster_2390,PFAM,PTS system Galactitol-specific IIC component
protein_cluster_2391,PFAM,Protein of unknown function DUF2511
protein_cluster_2392,PFAM,antitermination protein
protein_cluster_2393,PFAM,Three-deoxy-D-manno-octulosonic-acid transferase domain-containing protein
protein_cluster_2394,,hypothetical protein
protein_cluster_2395,PFAM,cell wall hydrolase/autolysin
protein_cluster_2396,PFAM,Polyprenyl synthetase
protein_cluster_2397,,hypothetical protein
protein_cluster_2398,PFAM,Protein of unknown function DUF2810
protein_cluster_2399,TIGR,"5,10-methylenetetrahydrofolate reductase"
protein_cluster_24,,hypothetical protein
protein_cluster_240,PFAM,DNA topoisomerase type IA central domain protein
protein_cluster_2400,,hypothetical protein
protein_cluster_2401,PFAM,Fimbrial protein
protein_cluster_2402,PFAM,protein of unknown function DUF1176
protein_cluster_2403,PFAM,DMSO reductase anchor subunit (DmsC)
protein_cluster_2404,,hypothetical protein
protein_cluster_2405,,hypothetical protein
protein_cluster_2406,,hypothetical protein
protein_cluster_2407,,hypothetical protein
protein_cluster_2408,HAMAP, O-sialoglycoprotein endopeptidase
protein_cluster_2409,PFAM,DinI family protein
protein_cluster_241,,hypothetical protein
protein_cluster_2410,HAMAP,Elongation factor P
protein_cluster_2411,PFAM,protein of unknown function DUF1320
protein_cluster_2412,,hypothetical protein
protein_cluster_2413,,hypothetical protein
protein_cluster_2414,PFAM,regulatory protein LysR
protein_cluster_2415,HAMAP,Glutamyl-tRNA reductase
protein_cluster_2416,TIGR,leucyl-tRNA synthetase
protein_cluster_2417,,hypothetical protein
protein_cluster_2418,TIGR,endoribonuclease L-PSP
protein_cluster_2419,,hypothetical protein
protein_cluster_242,PFAM,Pili assembly chaperone
protein_cluster_2420,PFAM,protein of unknown function DUF1323
protein_cluster_2421,PFAM,4Fe-4S ferredoxin iron-sulfur binding domain-containing protein
protein_cluster_2422,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_2423,HAMAP,Bifunctional protein hldE
protein_cluster_2424,HAMAP,Anaerobic nitric oxide reductase transcription regulator norR
protein_cluster_2425,,hypothetical protein
protein_cluster_2426,HAMAP,Transcriptional activator FlhD
protein_cluster_2427,PFAM,multiple antibiotic resistance (MarC)-related protein
protein_cluster_2428,,hypothetical protein
protein_cluster_2429,,hypothetical protein
protein_cluster_243,,hypothetical protein
protein_cluster_2430,TIGR,transcription termination factor NusA
protein_cluster_2431,,hypothetical protein
protein_cluster_2432,,hypothetical protein
protein_cluster_2433,HAMAP, GTP-binding protein engB
protein_cluster_2434,TIGR,"phage prohead protease, HK97 family"
protein_cluster_2435,,hypothetical protein
protein_cluster_2436,PFAM,FaeA family protein
protein_cluster_2437,PFAM,37kDa nucleoid-associated protein
protein_cluster_2438,PFAM,protein of unknown function DUF1813 HSP20-like protein
protein_cluster_2439,HAMAP,Imidazole glycerol phosphate synthase subunit hisF
protein_cluster_244,,hypothetical protein
protein_cluster_2440,PFAM,GGDEF domain containing protein
protein_cluster_2441,PFAM,Sensory transduction regulator
protein_cluster_2442,,hypothetical protein
protein_cluster_2443,HAMAP,Glutaminyl-tRNA synthetase
protein_cluster_2444,,hypothetical protein
protein_cluster_2445,,hypothetical protein
protein_cluster_2446,,hypothetical protein
protein_cluster_2447,PFAM,Heat shock protein 70
protein_cluster_2448,PFAM,Protein of unknown function DUF2950
protein_cluster_2449,PFAM,Fimbrial protein
protein_cluster_245,PFAM,response regulator receiver
protein_cluster_2450,PFAM,Alcohol dehydrogenase GroES domain protein
protein_cluster_2451,PFAM,Asp/Glu/hydantoin racemase
protein_cluster_2452,HAMAP,nickel-responsive regulator
protein_cluster_2453,PFAM,sigma-70 region 3 domain protein
protein_cluster_2454,PFAM,"4Fe-4S ferredoxin, iron-sulpur binding domain-containing protein"
protein_cluster_2455,TIGR,orotidine 5'-phosphate decarboxylase
protein_cluster_2456,PFAM,"Peptidase S24/S26A/S26B, conserved region"
protein_cluster_2457,PFAM,flagellin domain protein
protein_cluster_2458,PFAM,Protein of unknown function DUF3412
protein_cluster_2459,PFAM,transposase IS111A/IS1328/IS1533
protein_cluster_246,PFAM,aromatic amino acid beta-eliminating lyase/threonine aldolase
protein_cluster_2460,PFAM,"ABC-type glycine betaine transport, periplasmic subunit"
protein_cluster_2461,PFAM,Arsenical pump membrane protein
protein_cluster_2462,PFAM,OsmC family protein
protein_cluster_2463,HAMAP,Cysteine desulfurase
protein_cluster_2464,,hypothetical protein
protein_cluster_2465,HAMAP,Chaperone protein hscA
protein_cluster_2466,PFAM,major capsid protein P2
protein_cluster_2467,,hypothetical protein
protein_cluster_2468,,hypothetical protein
protein_cluster_2469,,hypothetical protein
protein_cluster_247,,hypothetical protein
protein_cluster_2470,,hypothetical protein
protein_cluster_2471,PFAM,TorD-like chaperone
protein_cluster_2472,,hypothetical protein
